"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test","","Wed Dec 10 20:38:20 GMT-03:00 2025","skipped","Wed Dec 10 20:38:20 GMT-03:00 2025","","all_users\change-email.spec.ts","",""
"","0","test","","Wed Dec 10 20:38:20 GMT-03:00 2025","skipped","Wed Dec 10 20:38:20 GMT-03:00 2025","","estudiante\submissions.spec.ts","",""
"","0","test","","Wed Dec 10 20:38:20 GMT-03:00 2025","skipped","Wed Dec 10 20:38:20 GMT-03:00 2025","","all_users\find-course.spec.ts","",""
"","227","test","","Wed Dec 10 20:38:19 GMT-03:00 2025","failed","Wed Dec 10 20:38:19 GMT-03:00 2025","","admin\add-manual-course.spec.ts","",""
"","0","test","","Wed Dec 10 20:38:20 GMT-03:00 2025","skipped","Wed Dec 10 20:38:20 GMT-03:00 2025","","profesor\single-marks.spec.ts","",""
"","1","test","","Wed Dec 10 20:38:20 GMT-03:00 2025","skipped","Wed Dec 10 20:38:20 GMT-03:00 2025","","profesor\enrollmassive.spec.ts","",""
"","0","test","","Wed Dec 10 20:38:20 GMT-03:00 2025","skipped","Wed Dec 10 20:38:20 GMT-03:00 2025","","all_users\reset-password.spec.ts","",""
"","0","test","","Wed Dec 10 20:38:20 GMT-03:00 2025","skipped","Wed Dec 10 20:38:20 GMT-03:00 2025","","admin\remove-course.spec.ts","",""
"","0","test","","Wed Dec 10 20:38:20 GMT-03:00 2025","skipped","Wed Dec 10 20:38:20 GMT-03:00 2025","","admin\add-massive-user.spec.ts","",""
"","0","test","","Wed Dec 10 20:38:20 GMT-03:00 2025","skipped","Wed Dec 10 20:38:20 GMT-03:00 2025","","profesor\unenrollStudent.spec.ts","",""
"","0","test","","Wed Dec 10 20:38:20 GMT-03:00 2025","skipped","Wed Dec 10 20:38:20 GMT-03:00 2025","","profesor\createTask.spec.ts","",""
"","0","test","","Wed Dec 10 20:38:20 GMT-03:00 2025","skipped","Wed Dec 10 20:38:20 GMT-03:00 2025","","profesor\calificationStudent.spec.ts","",""
"","129","test","","Wed Dec 10 20:38:19 GMT-03:00 2025","failed","Wed Dec 10 20:38:19 GMT-03:00 2025","","admin\add-manual-user.spec.ts","",""
"","1","test","","Wed Dec 10 20:38:20 GMT-03:00 2025","skipped","Wed Dec 10 20:38:20 GMT-03:00 2025","","all_users\login.spec.ts","",""
"","3","test","","Wed Dec 10 20:38:20 GMT-03:00 2025","skipped","Wed Dec 10 20:38:20 GMT-03:00 2025","","profesor\unenrollmassive.spec.ts","",""
"","0","test","","Wed Dec 10 20:38:20 GMT-03:00 2025","skipped","Wed Dec 10 20:38:20 GMT-03:00 2025","","all_users\browse-course.spec.ts","",""
"","1","test","","Wed Dec 10 20:38:20 GMT-03:00 2025","skipped","Wed Dec 10 20:38:20 GMT-03:00 2025","","all_users\logout.spec.ts","",""
"","0","test","","Wed Dec 10 20:38:20 GMT-03:00 2025","skipped","Wed Dec 10 20:38:20 GMT-03:00 2025","","profesor\masive-marks.spec.ts","",""
"","0","test","","Wed Dec 10 20:38:20 GMT-03:00 2025","skipped","Wed Dec 10 20:38:20 GMT-03:00 2025","","admin\add-massive-course.spec.ts","",""
"","1","test","","Wed Dec 10 20:38:20 GMT-03:00 2025","skipped","Wed Dec 10 20:38:20 GMT-03:00 2025","","profesor\enrollStudent.spec.ts","",""
